app_id,tracker,data_type,transmission_type,platform
com.theappninjas.fakegpsjoystick,firebase,idfa,pseudonymously,android
com.theappninjas.fakegpsjoystick,firebase,os,pseudonymously,android
com.drink.water.aquarium,<indicators>,app_id,anonymously,ios
com.drink.water.aquarium,doubleclick,model,anonymously,ios
com.drink.water.aquarium,doubleclick,os,anonymously,ios
com.drink.water.aquarium,doubleclick,volume,anonymously,ios
com.drink.water.aquarium,doubleclick,language,anonymously,ios
com.drink.water.aquarium,doubleclick,network_connection_type,anonymously,ios
com.drink.water.aquarium,doubleclick,architecture,anonymously,ios
com.drink.water.aquarium,doubleclick,rooted,anonymously,ios
com.drink.water.aquarium,doubleclick,app_name,anonymously,ios
io.cleanfox.android,<indicators>,model,pseudonymously,android
io.cleanfox.android,<indicators>,idfa,pseudonymously,android
io.cleanfox.android,<indicators>,app_id,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,app_id,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,app_version,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,other_uuids,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,model,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,emulator,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,rooted,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,carrier,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,screen_size,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,os,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,is_charging,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,battery_percentage,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,ram_usage,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,disk_usage,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,accelerometer,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,rotation,pseudonymously,android
com.lbrc.PeriodCalendar,facebook,language,pseudonymously,android
com.lbrc.PeriodCalendar,mopub,app_version,anonymously,android
com.lbrc.PeriodCalendar,mopub,app_id,anonymously,android
com.lbrc.PeriodCalendar,mopub,os,anonymously,android
com.lbrc.PeriodCalendar,mopub,model,anonymously,android
com.wave.keyboard.theme.diamondanimatedkeyboard,<indicators>,model,pseudonymously,android
com.wave.keyboard.theme.diamondanimatedkeyboard,<indicators>,idfa,pseudonymously,android
com.wave.keyboard.theme.diamondanimatedkeyboard,<indicators>,app_id,pseudonymously,android
