tracker,data_type,platform,transmission_type,count
adcolony,model,ios,pseudonymously,42
adcolony,battery_percentage,ios,pseudonymously,41
adcolony,orientation,ios,pseudonymously,42
adcolony,timezone,ios,pseudonymously,42
adcolony,screen_size,ios,pseudonymously,42
adcolony,network_connection_type,ios,pseudonymously,42
doubleclick,model,ios,anonymously,225
doubleclick,os,ios,anonymously,220
doubleclick,volume,ios,anonymously,225
doubleclick,language,ios,anonymously,225
doubleclick,network_connection_type,ios,anonymously,222
doubleclick,architecture,ios,anonymously,220
doubleclick,rooted,ios,anonymously,225
doubleclick,app_name,ios,anonymously,225
vungle,model,ios,pseudonymously,42
vungle,os,ios,pseudonymously,42
vungle,carrier,ios,pseudonymously,42
vungle,screen_size,ios,pseudonymously,42
vungle,idfa,ios,pseudonymously,42
vungle,idfv,ios,pseudonymously,42
vungle,battery_percentage,ios,pseudonymously,42
vungle,is_charging,ios,pseudonymously,42
vungle,network_connection_type,ios,pseudonymously,42
vungle,language,ios,pseudonymously,42
vungle,timezone,ios,pseudonymously,42
vungle,volume,ios,pseudonymously,42
vungle,disk_usage,ios,pseudonymously,42
vungle,user_agent,ios,pseudonymously,42
vungle,app_id,ios,pseudonymously,42
vungle,app_version,ios,pseudonymously,42
unity,app_id,ios,anonymously,59
unity,app_version,ios,anonymously,59
unity,model,ios,anonymously,59
unity,network_connection_type,ios,anonymously,59
unity,screen_size,ios,anonymously,59
unity,carrier,ios,anonymously,59
unity,timezone,ios,anonymously,59
unity,language,ios,anonymously,59
unity,volume,ios,anonymously,59
unity,disk_usage,ios,anonymously,59
unity,battery_percentage,ios,anonymously,59
unity,ram_usage,ios,anonymously,59
unity,rooted,ios,anonymously,59
unity,user_agent,ios,anonymously,59
unity,country,ios,anonymously,59
ironsource,model,ios,anonymously,39
ironsource,os,ios,anonymously,39
ironsource,network_connection_type,ios,anonymously,39
ironsource,app_id,ios,anonymously,39
ironsource,app_version,ios,anonymously,39
startio,app_id,android,pseudonymously,19
startio,app_version,android,pseudonymously,19
startio,in_foreground,android,pseudonymously,19
startio,other_uuids,android,pseudonymously,19
startio,os,android,pseudonymously,19
startio,idfa,android,pseudonymously,19
startio,model,android,pseudonymously,19
startio,language,android,pseudonymously,19
startio,screen_size,android,pseudonymously,19
startio,roaming,android,pseudonymously,19
startio,uptime,android,pseudonymously,19
startio,rooted,android,pseudonymously,19
startio,orientation,android,pseudonymously,19
startio,carrier,android,pseudonymously,19
startio,ram_usage,android,pseudonymously,19
startio,network_connection_type,android,pseudonymously,19
startio,signal_strength,android,pseudonymously,19
startio,viewed_page,android,pseudonymously,18
bugsnag,app_version,android,anonymously,63
bugsnag,app_id,android,anonymously,50
bugsnag,architecture,android,anonymously,59
bugsnag,os,android,anonymously,60
