name,id,count
"Bidtellect, Inc",185,27
"AdTheorent, Inc",211,27
StackAdapt,238,27
LiquidM Technology GmbH,254,27
"Nativo, Inc.",263,27
"Sojern, Inc.",295,27
"Permutive Technologies, Inc.",360,27
Permutive Limited,361,27
Arrivalist Co,409,27
Zeta Global,469,27
INFINIA MOBILE S.L.,479,27
Pubfinity LLC,725,27
Appier PTE Ltd,728,27
GeistM Technologies LTD,731,27
"6Sense Insights, Inc.",740,27
Artefact Deutschland GmbH,797,27
Pure Local Media GmbH,808,27
Adtriba GmbH,827,27
Quality Media Network GmbH,835,27
AWIN AG,907,27
TV SQUARED LIMITED,985,27
Captify Technologies Limited,2,26
Emerse Sverige AB,8,26
33Across,58,26
Media.net Advertising FZ-LLC,142,26
Seedtag Advertising S.L,157,26
Mediasmart Mobile S.L.,193,26
"VGI CTV, Inc",237,26
ADYOULIKE SA,259,26
AerServ LLC,359,26
VECTAURY,368,26
communicationAds GmbH &amp; Co. KG,378,26
Adtelligent Inc.,410,26
Piano Software Inc,412,26
PROXISTORE,418,26
Brand Metrics Sweden AB,422,26
Admixer EU GmbH,511,26
WebAds B.V,601,26
"Impactify ",606,26
Mobsuccess,663,26
Go.pl sp. z o.o.,690,26
Vidazoo Ltd,744,26
TX Group AG,828,26
Amnet GmbH,922,26
socoto gmbh &amp; co. kg,966,26
ADman Interactive SLU,149,25
Hybrid Adtech GmbH,206,25
"Opt Out Advertising B.V. ",227,25
Triton Digital Canada Inc.,239,25
Yieldlove GmbH,251,25
"Fyber ",262,25
Welect GmbH,282,25
Mobfox US LLC,311,25
Browsi,329,25
AddApptr GmbH,377,25
"Demandbase, Inc.",397,25
INVIBES GROUP,436,25
TAPTAP Digital SL,475,25
NEXD,502,25
"Lucid Holdings, LLC",508,25
Kayzen,528,25
Onfocus (Adagio),617,25
BEINTOO SPA,618,25
AAX LLC,720,25
Monet Engine Inc,737,25
ADCELL | Firstlead GmbH,766,25
Aniview LTD,780,25
"AdGear Technologies, Inc.",790,25
Adjust GmbH,813,25
Kameleoon SAS,820,25
HUAWEI Ads,856,25
AdQuiver Media SL,859,25
Bertelsmann Data Service GmbH,920,25
dpa-infocom GmbH,1075,25
Adkernel LLC,14,24
Ogury Ltd.,31,24
"ADMAN - Phaistos Networks, S.A.",47,24
"PulsePoint, Inc.",81,24
digitalAudience,133,24
district m inc.,144,24
Adssets AB,205,24
Converge-Digital,248,24
Rockabox Media Ltd t/a Scoota,308,24
Knorex,325,24
Samba TV Inc.,350,24
Samba TV UK Limited,351,24
MGID Inc.,358,24
Internet BillBoard a.s.,428,24
"AdColony, Inc.",458,24
uppr GmbH,459,24
Mediakeys Platform,498,24
Smartclip Hispania SL,531,24
Dynamic 1001 GmbH,584,24
Market Resource Partners LLC,614,24
Blue,620,24
Hivestack Inc.,626,24
The MediaGrid Inc.,686,24
HyperTV Inc.,699,24
OnAudience Ltd,716,24
Kairion GmbH,747,24
SelectMedia International LTD,775,24
glomex GmbH,967,24
Dentsu Denmark A/S,1029,24
Havas Media (Artemis Alliance S.L.U.),1031,24
Allegro.pl,1035,24
C WIRE AG,1081,24
AdMaxim Inc.,9,23
N Technologies Inc.,20,23
Jellyfish France,49,23
Sirdata,53,23
Location Sciences AI Ltd.,65,23
Teroa S.A.,90,23
"Sonobi, Inc",104,23
Rich Audience Technologies SL,108,23
ConnectAd Realtime GmbH,138,23
Connatix Native Exchange Inc.,143,23
AntVoice,155,23
A Million Ads Ltd,174,23
ADUX,199,23
"Tapjoy, Inc.",200,23
Mindlytix SAS,216,23
"2KDirect, Inc. (dba iPromote)",217,23
AcuityAds Inc.,231,23
"Tri-table Sp. z o.o. ",249,23
"SpringServe, LLC",293,23
Keymantics,314,23
Gamned,316,23
DIGITEKA Technologies,343,23
"Bmind a Sales Maker Company, S.L.",374,23
Triapodi Ltd.,387,23
Eulerian Technologies,413,23
INVIDI technologies AB,438,23
Madington,486,23
ShinyStat S.p.a.,491,23
Arcspire Limited,495,23
Alliance Gravity Data Media,501,23
Pexi B.V.,516,23
"SunMedia ",517,23
The Ozone Project Limited,524,23
Jampp LTD,527,23
Near Pte Ltd,530,23
INNITY,535,23
"DeepIntent, Inc.",541,23
Reignn Platform Ltd,545,23
Smart Traffik,546,23
Bandsintown Amplified LLC,549,23
Adhese,553,23
adhood.com,556,23
AuDigent,561,23
Next Media SRL,568,23
ViewPay,571,23
Dailymotion SA,573,23
Realeyes OU,574,23
Programatica de publicidad S.L.,593,23
"ucfunnel Co., Ltd.",607,23
Azerion Holding B.V.,610,23
Adsolutions BV,615,23
: Tappx,628,23
Passendo Aps,638,23
Smile Wanted Group,639,23
