tracker,data_type,platform,transmission_type,count
unity,app_version,ios,anonymously,4
unity,model,ios,anonymously,4
unity,network_connection_type,ios,anonymously,4
unity,screen_size,ios,anonymously,4
unity,carrier,ios,anonymously,4
unity,timezone,ios,anonymously,4
unity,language,ios,anonymously,4
unity,volume,ios,anonymously,4
unity,disk_usage,ios,anonymously,4
unity,battery_percentage,ios,anonymously,4
unity,ram_usage,ios,anonymously,4
unity,rooted,ios,anonymously,4
unity,user_agent,ios,anonymously,4
unity,country,ios,anonymously,4
supersonic,app_version,ios,pseudonymously,3
supersonic,app_id,ios,pseudonymously,3
supersonic,carrier,ios,pseudonymously,3
supersonic,timezone,ios,pseudonymously,3
supersonic,idfa,ios,pseudonymously,3
supersonic,idfv,ios,pseudonymously,3
supersonic,other_uuids,ios,pseudonymously,3
supersonic,language,ios,pseudonymously,3
supersonic,battery_percentage,ios,pseudonymously,3
supersonic,network_connection_type,ios,pseudonymously,3
supersonic,ram_usage,ios,pseudonymously,3
supersonic,os,ios,pseudonymously,3
supersonic,model,ios,pseudonymously,3
supersonic,rooted,ios,pseudonymously,3
ms_appcenter,app_id,ios,anonymously,4
ms_appcenter,app_version,ios,anonymously,4
ms_appcenter,model,ios,anonymously,4
ms_appcenter,os,ios,anonymously,4
ms_appcenter,language,ios,anonymously,4
ms_appcenter,timezone,ios,anonymously,4
ms_appcenter,screen_size,ios,anonymously,4
ms_appcenter,carrier,ios,anonymously,4
adjust,other_uuids,ios,pseudonymously,2
<indicators>,location,android,anonymously,10
onesignal,app_id,ios,pseudonymously,2
onesignal,other_uuids,ios,pseudonymously,2
onesignal,os,ios,pseudonymously,1
onesignal,timezone,ios,pseudonymously,1
onesignal,model,ios,pseudonymously,1
onesignal,carrier,ios,pseudonymously,1
onesignal,rooted,ios,pseudonymously,1
onesignal,language,ios,pseudonymously,1
onesignal,location,ios,pseudonymously,1
facebook,idfa,ios,pseudonymously,3
facebook,other_uuids,ios,pseudonymously,3
rayjump,os,android,anonymously,5
rayjump,orientation,android,anonymously,5
rayjump,model,android,anonymously,5
rayjump,language,android,anonymously,5
rayjump,user_agent,android,anonymously,5
rayjump,screen_size,android,anonymously,5
rayjump,app_id,android,anonymously,5
rayjump,app_version,android,anonymously,5
rayjump,timezone,android,anonymously,2
rayjump,country,android,anonymously,2
supersonic,app_version,android,pseudonymously,7
supersonic,app_id,android,pseudonymously,7
supersonic,carrier,android,pseudonymously,7
supersonic,timezone,android,pseudonymously,7
supersonic,idfa,android,pseudonymously,7
supersonic,other_uuids,android,pseudonymously,7
supersonic,language,android,pseudonymously,7
supersonic,battery_percentage,android,pseudonymously,7
supersonic,network_connection_type,android,pseudonymously,7
supersonic,ram_usage,android,pseudonymously,7
supersonic,os,android,pseudonymously,7
supersonic,model,android,pseudonymously,7
supersonic,rooted,android,pseudonymously,7
unity,other_uuids,android,pseudonymously,3
unity,country,android,pseudonymously,6
unity,app_version,android,anonymously,6
unity,carrier,android,anonymously,6
unity,timezone,android,anonymously,6
unity,volume,android,anonymously,6
unity,disk_usage,android,anonymously,6
unity,battery_percentage,android,anonymously,6
unity,ram_usage,android,anonymously,6
unity,user_agent,android,anonymously,6
chartboost,app_version,ios,pseudonymously,1
chartboost,os,ios,pseudonymously,1
chartboost,language,ios,pseudonymously,1
chartboost,app_id,ios,pseudonymously,1
chartboost,other_uuids,ios,pseudonymously,1
chartboost,model,ios,pseudonymously,1
chartboost,user_agent,ios,pseudonymously,1
chartboost,orientation,ios,pseudonymously,1
chartboost,carrier,ios,pseudonymously,1
chartboost,rooted,ios,pseudonymously,1
chartboost,country,ios,pseudonymously,1
<indicators>,hashed_idfa,ios,pseudonymously,1
vungle,model,ios,pseudonymously,2
vungle,os,ios,pseudonymously,2
vungle,carrier,ios,pseudonymously,2
vungle,screen_size,ios,pseudonymously,2
vungle,idfa,ios,pseudonymously,2
vungle,idfv,ios,pseudonymously,2
vungle,battery_percentage,ios,pseudonymously,2
vungle,is_charging,ios,pseudonymously,2
vungle,network_connection_type,ios,pseudonymously,2
vungle,language,ios,pseudonymously,2
vungle,timezone,ios,pseudonymously,2
vungle,volume,ios,pseudonymously,2
vungle,disk_usage,ios,pseudonymously,2
vungle,user_agent,ios,pseudonymously,2
vungle,app_id,ios,pseudonymously,2
vungle,app_version,ios,pseudonymously,2
rayjump,os,ios,pseudonymously,2
rayjump,orientation,ios,pseudonymously,2
rayjump,model,ios,pseudonymously,2
rayjump,idfa,ios,pseudonymously,2
rayjump,idfv,ios,pseudonymously,2
rayjump,language,ios,pseudonymously,2
rayjump,timezone,ios,pseudonymously,2
rayjump,user_agent,ios,pseudonymously,2
rayjump,screen_size,ios,pseudonymously,2
rayjump,app_id,ios,pseudonymously,2
rayjump,app_version,ios,pseudonymously,2
rayjump,country,ios,pseudonymously,2
adcolony,idfa,ios,pseudonymously,1
adcolony,screen_size,ios,pseudonymously,1
adcolony,language,ios,pseudonymously,1
adcolony,model,ios,pseudonymously,1
adcolony,network_connection_type,ios,pseudonymously,1
adcolony,os,ios,pseudonymously,1
adcolony,timezone,ios,pseudonymously,1
adcolony,orientation,ios,pseudonymously,1
adcolony,app_id,ios,pseudonymously,1
adcolony,app_version,ios,pseudonymously,1
adcolony,idfv,ios,pseudonymously,1
adcolony,other_uuids,ios,pseudonymously,1
adcolony,carrier,ios,pseudonymously,1
adcolony,battery_percentage,ios,pseudonymously,1
bugsnag,app_version,ios,anonymously,1
bugsnag,app_id,ios,anonymously,1
bugsnag,os,ios,anonymously,1
bugsnag,rooted,ios,anonymously,1
bugsnag,model,ios,anonymously,1
bugsnag,language,ios,anonymously,1
bugsnag,ram_usage,ios,anonymously,1
branchio,idfa,android,pseudonymously,1
branchio,other_uuids,android,pseudonymously,1
branchio,model,android,pseudonymously,1
branchio,screen_size,android,pseudonymously,1
branchio,network_connection_type,android,pseudonymously,1
branchio,os,android,pseudonymously,1
branchio,language,android,pseudonymously,1
branchio,local_ips,android,pseudonymously,1
branchio,architecture,android,pseudonymously,1
branchio,carrier,android,pseudonymously,1
branchio,country,android,pseudonymously,1
branchio,app_version,android,pseudonymously,1
ms_appcenter,other_uuids,ios,pseudonymously,2
<indicators>,local_ips,ios,anonymously,2
yandex,idfa,android,pseudonymously,1
yandex,other_uuids,android,pseudonymously,1
yandex,os,android,pseudonymously,1
yandex,model,android,pseudonymously,1
yandex,screen_size,android,pseudonymously,1
yandex,language,android,pseudonymously,1
yandex,rooted,android,pseudonymously,1
yandex,app_id,android,pseudonymously,1
yandex,app_version,android,pseudonymously,1
<indicators>,local_ips,android,anonymously,1
ms_appcenter,app_id,android,pseudonymously,1
ms_appcenter,app_version,android,pseudonymously,1
ms_appcenter,other_uuids,android,pseudonymously,1
ms_appcenter,model,android,pseudonymously,1
ms_appcenter,os,android,pseudonymously,1
ms_appcenter,language,android,pseudonymously,1
ms_appcenter,timezone,android,pseudonymously,1
ms_appcenter,screen_size,android,pseudonymously,1
ms_appcenter,carrier,android,pseudonymously,1
<indicators>,bssid,android,anonymously,1
chartboost,app_id,android,pseudonymously,1
chartboost,app_version,android,pseudonymously,1
chartboost,idfa,android,pseudonymously,1
chartboost,model,android,pseudonymously,1
chartboost,os,android,pseudonymously,1
chartboost,language,android,pseudonymously,1
chartboost,timezone,android,pseudonymously,1
chartboost,user_agent,android,pseudonymously,1
chartboost,orientation,android,pseudonymously,1
chartboost,rooted,android,pseudonymously,1
chartboost,screen_size,android,pseudonymously,1
chartboost,network_connection_type,android,pseudonymously,1
chartboost,country,android,pseudonymously,1
mopub,app_id,android,anonymously,1
mopub,app_version,android,anonymously,1
mopub,os,android,anonymously,1
mopub,model,android,anonymously,1
adjust,language,ios,pseudonymously,2
adjust,country,ios,pseudonymously,2
