app_id,tracker,data_type,transmission_type,platform
aplicacion.tiempo,<indicators>,model,pseudonymously,android
aplicacion.tiempo,<indicators>,idfa,pseudonymously,android
aplicacion.tiempo,<indicators>,app_id,pseudonymously,android
aplicacion.tiempo,facebook,app_id,pseudonymously,android
aplicacion.tiempo,facebook,app_version,pseudonymously,android
aplicacion.tiempo,facebook,idfa,pseudonymously,android
aplicacion.tiempo,facebook,other_uuids,pseudonymously,android
aplicacion.tiempo,facebook,model,pseudonymously,android
aplicacion.tiempo,facebook,emulator,pseudonymously,android
aplicacion.tiempo,facebook,rooted,pseudonymously,android
aplicacion.tiempo,facebook,carrier,pseudonymously,android
aplicacion.tiempo,facebook,screen_size,pseudonymously,android
aplicacion.tiempo,facebook,os,pseudonymously,android
aplicacion.tiempo,facebook,is_charging,pseudonymously,android
aplicacion.tiempo,facebook,battery_percentage,pseudonymously,android
aplicacion.tiempo,facebook,ram_usage,pseudonymously,android
aplicacion.tiempo,facebook,disk_usage,pseudonymously,android
aplicacion.tiempo,facebook,accelerometer,pseudonymously,android
aplicacion.tiempo,facebook,rotation,pseudonymously,android
aplicacion.tiempo,facebook,language,pseudonymously,android
com.iTankster.MagnifyGlassLite,firebase,app_id,pseudonymously,ios
com.iTankster.MagnifyGlassLite,firebase,app_version,pseudonymously,ios
com.iTankster.MagnifyGlassLite,firebase,os,pseudonymously,ios
com.iTankster.MagnifyGlassLite,firebase,idfv,pseudonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,model,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,os,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,volume,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,language,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,network_connection_type,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,architecture,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,rooted,anonymously,ios
com.iTankster.MagnifyGlassLite,doubleclick,app_name,anonymously,ios
de.sky.online,<indicators>,model,pseudonymously,android
de.sky.online,<indicators>,idfa,pseudonymously,android
com.colorflash.callerscreen,<indicators>,app_id,anonymously,android
com.colorflash.callerscreen,doubleclick,model,anonymously,android
com.colorflash.callerscreen,doubleclick,volume,anonymously,android
com.colorflash.callerscreen,doubleclick,language,anonymously,android
com.colorflash.callerscreen,doubleclick,network_connection_type,anonymously,android
com.colorflash.callerscreen,doubleclick,app_name,anonymously,android
com.ebay.kleinanzeigen,facebook,app_id,pseudonymously,android
com.ebay.kleinanzeigen,facebook,app_version,pseudonymously,android
com.ebay.kleinanzeigen,facebook,other_uuids,pseudonymously,android
com.ebay.kleinanzeigen,facebook,model,pseudonymously,android
com.ebay.kleinanzeigen,facebook,emulator,pseudonymously,android
com.ebay.kleinanzeigen,facebook,rooted,pseudonymously,android
com.ebay.kleinanzeigen,facebook,carrier,pseudonymously,android
com.ebay.kleinanzeigen,facebook,screen_size,pseudonymously,android
com.ebay.kleinanzeigen,facebook,os,pseudonymously,android
com.ebay.kleinanzeigen,facebook,is_charging,pseudonymously,android
com.ebay.kleinanzeigen,facebook,battery_percentage,pseudonymously,android
com.ebay.kleinanzeigen,facebook,ram_usage,pseudonymously,android
com.ebay.kleinanzeigen,facebook,disk_usage,pseudonymously,android
com.ebay.kleinanzeigen,facebook,language,pseudonymously,android
com.ebay.kleinanzeigen,facebook,accelerometer,pseudonymously,android
com.ebay.kleinanzeigen,facebook,rotation,pseudonymously,android
com.ebay.kleinanzeigen,firebase,app_id,pseudonymously,android
com.ebay.kleinanzeigen,firebase,app_version,pseudonymously,android
com.ebay.kleinanzeigen,firebase,idfa,pseudonymously,android
com.ebay.kleinanzeigen,firebase,os,pseudonymously,android
com.ebay.kleinanzeigen,<indicators>,app_id,anonymously,android
com.ebay.kleinanzeigen,ioam,app_id,pseudonymously,android
com.ebay.kleinanzeigen,ioam,app_version,pseudonymously,android
com.ebay.kleinanzeigen,ioam,hashed_idfa,pseudonymously,android
com.ebay.kleinanzeigen,ioam,other_uuids,pseudonymously,android
com.ebay.kleinanzeigen,ioam,model,pseudonymously,android
com.ebay.kleinanzeigen,ioam,os,pseudonymously,android
com.ebay.kleinanzeigen,ioam,language,pseudonymously,android
com.ebay.kleinanzeigen,ioam,carrier,pseudonymously,android
com.ebay.kleinanzeigen,ioam,screen_size,pseudonymously,android
com.ebay.kleinanzeigen,ioam,country,pseudonymously,android
de.comventure.medpex,<indicators>,app_id,anonymously,android
tv.pluto.android,<indicators>,model,pseudonymously,android
tv.pluto.android,<indicators>,idfa,pseudonymously,android
tv.pluto.android,<indicators>,app_id,pseudonymously,android
tv.pluto.android,<indicators>,hashed_idfa,pseudonymously,android
tv.pluto.android,<indicators>,os,pseudonymously,android
tv.pluto.android,firebase,app_id,pseudonymously,android
tv.pluto.android,firebase,app_version,pseudonymously,android
tv.pluto.android,firebase,idfa,pseudonymously,android
tv.pluto.android,firebase,os,pseudonymously,android
com.gismart.equalizer2,<indicators>,app_id,anonymously,ios
com.gismart.equalizer2,<indicators>,idfa,pseudonymously,ios
com.gismart.equalizer2,firebase,app_id,pseudonymously,ios
com.gismart.equalizer2,firebase,app_version,pseudonymously,ios
com.gismart.equalizer2,firebase,os,pseudonymously,ios
com.gismart.equalizer2,firebase,idfv,pseudonymously,ios
de.swp.interred.news,<indicators>,app_id,anonymously,ios
de.swp.interred.news,firebase,app_id,pseudonymously,ios
de.swp.interred.news,firebase,app_version,pseudonymously,ios
de.swp.interred.news,firebase,os,pseudonymously,ios
de.swp.interred.news,firebase,idfv,pseudonymously,ios
net.skyscanner.iphone,<indicators>,app_id,anonymously,ios
net.skyscanner.iphone,branchio,idfv,pseudonymously,ios
net.skyscanner.iphone,branchio,other_uuids,pseudonymously,ios
net.skyscanner.iphone,branchio,model,pseudonymously,ios
net.skyscanner.iphone,branchio,screen_size,pseudonymously,ios
net.skyscanner.iphone,branchio,network_connection_type,pseudonymously,ios
net.skyscanner.iphone,branchio,os,pseudonymously,ios
net.skyscanner.iphone,branchio,language,pseudonymously,ios
net.skyscanner.iphone,branchio,local_ips,pseudonymously,ios
net.skyscanner.iphone,branchio,architecture,pseudonymously,ios
net.skyscanner.iphone,branchio,carrier,pseudonymously,ios
net.skyscanner.iphone,branchio,user_agent,pseudonymously,ios
net.skyscanner.iphone,branchio,country,pseudonymously,ios
net.skyscanner.iphone,branchio,app_version,pseudonymously,ios
net.skyscanner.iphone,branchio,app_id,pseudonymously,ios
com.werneroi.polyjamer,yandex,idfa,pseudonymously,ios
com.werneroi.polyjamer,yandex,idfv,pseudonymously,ios
com.werneroi.polyjamer,yandex,other_uuids,pseudonymously,ios
com.werneroi.polyjamer,yandex,os,pseudonymously,ios
com.werneroi.polyjamer,yandex,model,pseudonymously,ios
com.werneroi.polyjamer,yandex,screen_size,pseudonymously,ios
com.werneroi.polyjamer,yandex,language,pseudonymously,ios
com.werneroi.polyjamer,yandex,rooted,pseudonymously,ios
com.werneroi.polyjamer,yandex,app_id,pseudonymously,ios
com.werneroi.polyjamer,yandex,app_version,pseudonymously,ios
com.werneroi.polyjamer,<indicators>,app_id,anonymously,ios
com.werneroi.polyjamer,<indicators>,location,anonymously,ios
com.werneroi.polyjamer,firebase,app_id,pseudonymously,ios
com.werneroi.polyjamer,firebase,app_version,pseudonymously,ios
com.werneroi.polyjamer,firebase,os,pseudonymously,ios
com.werneroi.polyjamer,firebase,idfv,pseudonymously,ios
com.werneroi.polyjamer,mopub,app_version,pseudonymously,ios
com.werneroi.polyjamer,mopub,app_id,pseudonymously,ios
com.werneroi.polyjamer,mopub,idfv,pseudonymously,ios
com.werneroi.polyjamer,mopub,os,pseudonymously,ios
com.werneroi.polyjamer,mopub,model,pseudonymously,ios
com.werneroi.polyjamer,mopub,timezone,pseudonymously,ios
com.werneroi.polyjamer,mopub,carrier,pseudonymously,ios
com.werneroi.polyjamer,mopub,screen_size,pseudonymously,ios
de.inforoad.cleverTanken,firebase,app_id,pseudonymously,ios
de.inforoad.cleverTanken,firebase,app_version,pseudonymously,ios
de.inforoad.cleverTanken,firebase,os,pseudonymously,ios
de.inforoad.cleverTanken,firebase,idfv,pseudonymously,ios
de.inforoad.cleverTanken,firebase,other_uuids,pseudonymously,ios
de.inforoad.cleverTanken,firebase,language,anonymously,ios
de.inforoad.cleverTanken,firebase,model,anonymously,ios
de.inforoad.cleverTanken,firebase,timezone,anonymously,ios
de.inforoad.cleverTanken,ioam,app_id,pseudonymously,ios
de.inforoad.cleverTanken,ioam,app_version,pseudonymously,ios
de.inforoad.cleverTanken,ioam,other_uuids,pseudonymously,ios
de.inforoad.cleverTanken,ioam,model,pseudonymously,ios
de.inforoad.cleverTanken,ioam,os,pseudonymously,ios
de.inforoad.cleverTanken,ioam,language,pseudonymously,ios
de.inforoad.cleverTanken,ioam,carrier,pseudonymously,ios
de.inforoad.cleverTanken,ioam,screen_size,pseudonymously,ios
